Group,1,2,3,4,5,6,7,8,9,10,11,12
A,A,A,B,B,C,C,C,C,D,D,E,E
B,A,A,B,B,C,C,C,C,D,D,E,E
C,A,A,B,B,C,C,C,C,D,D,E,E
D,A,A,B,B,C,C,C,C,D,D,E,E
E,B,B,C,C,C,C,C,C,D,D,F,F
F,B,B,C,C,C,C,C,C,D,D,F,F
G,Blank,Blank,Blank,Blank,C,C,D,D,E,E,F,F
H,Blank,Blank,Blank,Blank,C,C,D,D,E,E,F,F
,,,,,,,,,,,,
Number,1,2,3,4,5,6,7,8,9,10,11,12
A,1,1,2,2,2,2,6,6,2,2,2,2
B,1,1,2,2,2,2,6,6,2,2,2,2
C,2,2,3,3,3,3,7,7,3,3,3,3
D,2,2,3,3,3,3,7,7,3,3,3,3
E,1,1,1,1,4,4,8,8,4,4,1,1
F,1,1,1,1,4,4,8,8,4,4,1,1
G,Blank,Blank,Blank,Blank,5,5,1,1,1,1,2,2
H,Blank,Blank,Blank,Blank,5,5,1,1,1,1,2,2
,,,,,,,,,,,,
Dilution,1,2,3,4,5,6,7,8,9,10,11,12
A,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111
B,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444
C,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111
D,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444
E,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111
F,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444
G,Blank,Blank,Blank,Blank,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111,0.111111111
H,Blank,Blank,Blank,Blank,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444,0.319444444
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,1,2,1,2,1,2,1,2,1,2
B,1,2,1,2,1,2,1,2,1,2,1,2
C,1,2,1,2,1,2,1,2,1,2,1,2
D,1,2,1,2,1,2,1,2,1,2,1,2
E,1,2,1,2,1,2,1,2,1,2,1,2
F,1,2,1,2,1,2,1,2,1,2,1,2
G,1,2,1,2,1,2,1,2,1,2,1,2
H,1,2,1,2,1,2,1,2,1,2,1,2
,,,,,,,,,,,,
PT gliadin,1,2,3,4,5,6,7,8,9,10,11,12
A,0.31008915,0.417670026,0.413798573,0.706976426,0.701859186,0.109890794,0.613851524,0.668738171,0.80241446,0.272600502,0.989407459,0.341972876
B,0.963709202,0.408538497,0.646912763,0.699338705,0.072507733,0.326834343,0.987652958,0.42667489,0.40987842,0.428610444,0.947087523,0.788566367
C,0.284902483,0.103355997,0.179646785,0.994201183,0.286786022,0.745510717,0.053273215,0.129984136,0.457402665,0.722443676,0.343956261,0.728627077
D,0.705996346,0.815490237,0.54155257,0.826374731,0.831665002,0.253587457,0.830734351,0.289114692,0.604924978,0.084898207,0.927715067,0.042898771
E,0.421974578,0.817623803,0.413981748,0.729576228,0.81029386,0.50975561,0.047761935,0.293013251,0.924444224,0.280018422,0.665453,0.510823878
F,0.621911449,0.203222478,0.827725454,0.114197043,0.49739839,0.900985294,0.078613713,0.312927685,0.326218163,0.806964318,0.41471779,0.221476768
G,0.003749462,0.195551453,0.474152307,0.184649395,0.537009106,0.686367516,0.41029146,0.419456627,0.598284921,0.115674181,0.183003963,0.851884539
H,0.103463975,0.644029431,0.672675054,0.130104905,0.831651487,0.162905994,0.030003537,0.334358535,0.949544997,0.301162089,0.50147575,0.194306796
,,,,,,,,,,,,
CT gliadin,1,2,3,4,5,6,7,8,9,10,11,12
A,0.572911829,0.203900403,0.25480121,0.494664019,0.376899212,0.424515563,0.362991212,0.607561187,0.504276059,0.916693472,0.979108127,0.752831098
B,0.968395776,0.834165566,0.674012947,0.485633166,0.025968829,0.782361507,0.748567944,0.794731955,0.965746072,0.392920773,0.923925073,0.855667624
C,0.661108507,0.546528286,0.159131832,0.353666417,0.756099919,0.550581822,0.025013046,0.994628239,0.334079386,0.431020986,0.44731459,0.671055525
D,0.480713584,0.273920769,0.213659504,0.913293568,0.955251126,0.776534643,0.773662147,0.810889901,0.300201046,0.90218355,0.016079486,0.036502276
E,0.297026622,0.279556526,0.365554978,0.741628269,0.913786734,0.052233823,0.609850185,0.696936673,0.843310471,0.917748229,0.904160908,0.462010172
F,0.170063163,0.283607631,0.390968729,0.804917993,0.57491339,0.00323473,0.818565162,0.294682398,0.301520162,0.989718798,0.296007341,0.375779707
G,0.902051629,0.957389318,0.918895535,0.004451581,0.647284041,0.520636683,0.170699893,0.811366756,0.269503021,0.521524489,0.112548211,0.2432842
H,0.54687718,0.580548869,0.215289471,0.819094213,0.600544993,0.007928665,0.901099854,0.547009024,0.14757129,0.157767278,0.205117129,0.181151638
